"cohort","N","prior","Mean","Sd","Prob","bias","mse","lcl","ucl"
"1","100","BHM",-0.11439618,0.146645,0.25,-0.11439618,0.0130864859985924,-0.40182038,0.17302802
"1","100","CPHM",0.000688488216263725,0.164900917937525,0.036,0.000688488216263725,4.74016023934006e-07,-0.322517310941285,0.323894287373812
"1","100","MEMs-Empirical",-0.216698393295841,0.0872800339000272,0.698,-0.216698393295841,0.0469581936569988,-0.387767259739894,-0.0456295268517873
"1","100","MEMs-Exponential",-0.259742097018613,0.0825361398853812,0.848,-0.259742097018613,0.0674659569636267,-0.42151293119396,-0.0979712628432661
"1","150","BHM",-0.090229456,0.1278996,0.204,-0.090229456,0.00814135473005594,-0.340912672,0.16045376
"1","150","CPHM",0.00470446882886155,0.134521250526195,0.05,0.00470446882886155,2.213202696173e-05,-0.258957182202481,0.268366119860204
"1","150","MEMs-Empirical",-0.194892782853985,0.0742788175125435,0.702,-0.194892782853985,0.0379831968085705,-0.34047926517857,-0.0493063005293996
"1","150","MEMs-Exponential",-0.248254935570789,0.068474154510791,0.87,-0.248254935570789,0.0616305130352568,-0.38246427841194,-0.114045592729639
"1","200","BHM",-0.080047342,0.113106,0.226,-0.080047342,0.00640757696126496,-0.301735102,0.141640418
"1","200","CPHM",-0.00171317634349545,0.116486351266458,0.042,-0.00171317634349545,2.93497318391244e-06,-0.230026424825754,0.226600072138763
"1","200","MEMs-Empirical",-0.175523984971941,0.0672623562404183,0.686,-0.175523984971941,0.0308086693004303,-0.307358203203161,-0.0436897667407215
"1","200","MEMs-Exponential",-0.235688872870521,0.0606688364136606,0.856,-0.235688872870521,0.0555492447949766,-0.354599792241296,-0.116777953499746
"1","250","BHM",-0.0671639,0.1042176,0.172,-0.0671639,0.00451098946321,-0.271430396,0.137102596
"1","250","CPHM",-6.77146423063481e-06,0.104024228911399,0.048,-6.77146423063481e-06,4.58527278267667e-11,-0.203894260130573,0.203880717202111
"1","250","MEMs-Empirical",-0.162433742279998,0.0622462355847969,0.678,-0.162433742279998,0.0263847206310849,-0.2844363640262,-0.0404311205337964
"1","250","MEMs-Exponential",-0.230313349507287,0.0548904321796671,0.87,-0.230313349507287,0.0530442389612659,-0.337898596579435,-0.12272810243514
"1","300","BHM",-0.063076132,0.0959058,0.176,-0.063076132,0.00397859842808143,-0.2510515,0.124899236
"1","300","CPHM",-0.00663817636471456,0.0950337359539851,0.044,-0.00663817636471456,4.40653854490551e-05,-0.192904298834525,0.179627946105096
"1","300","MEMs-Empirical",-0.153704629219633,0.0586644618959731,0.662,-0.153704629219633,0.0236251130435448,-0.26868697453574,-0.0387222839035258
"1","300","MEMs-Exponential",-0.224259631652898,0.0509199404634426,0.876,-0.224259631652898,0.0502923823890937,-0.324062714961246,-0.124456548344551
"1","350","BHM",-0.04374022,0.0896916,0.118,-0.04374022,0.0019132068456484,-0.219535756,0.132055316
"1","350","CPHM",0.00639287404980128,0.088008869216759,0.042,0.00639287404980128,4.08688386166226e-05,-0.166104509615046,0.178890257714649
"1","350","MEMs-Empirical",-0.124461268226717,0.0575882371762502,0.568,-0.124461268226717,0.0154906072886028,-0.237334213092168,-0.0115883233612669
"1","350","MEMs-Exponential",-0.207200002880372,0.0484475643642833,0.824,-0.207200002880372,0.042931841193626,-0.302157229034367,-0.112242776726376
"1","400","BHM",-0.0440239,0.0839528,0.132,-0.0440239,0.00193810377121,-0.208571388,0.120523588
"1","400","CPHM",-0.000385792974979978,0.0822644051650496,0.056,-0.000385792974979978,1.48836219543902e-07,-0.161624027098477,0.160852441148517
"1","400","MEMs-Empirical",-0.120497840000806,0.0552610863538013,0.592,-0.120497840000806,0.0145197294448598,-0.228809569254256,-0.0121861107473553
"1","400","MEMs-Exponential",-0.197987990218873,0.0466595372409348,0.82,-0.197987990218873,0.0391992442709087,-0.289440683211106,-0.106535297226641
"1","450","BHM",-0.041634458,0.0788708,0.14,-0.041634458,0.00173342809295376,-0.196221226,0.11295231
"1","450","CPHM",-0.00310663437873063,0.0775914979078376,0.06,-0.00310663437873063,9.65117716311104e-06,-0.155185970278092,0.148972701520631
"1","450","MEMs-Empirical",-0.111291630411047,0.0529170502129594,0.554,-0.111291630411047,0.0123858269995491,-0.215009048828447,-0.00757421199364661
"1","450","MEMs-Exponential",-0.18518394148163,0.0448689523337058,0.748,-0.18518394148163,0.0342930921826716,-0.273127088055693,-0.0972407949075663
"1","50","BHM",-0.130362306,0.1894512,0.162,-0.130362306,0.0169943308256376,-0.501686658,0.240962046
"1","50","CPHM",0.019684821581462,0.233740843802156,0.042,0.019684821581462,0.000387492200693991,-0.438447232270763,0.477816875433687
"1","50","MEMs-Empirical",-0.224075838262709,0.120663696037354,0.592,-0.224075838262709,0.0502099812931357,-0.460576682495924,0.0124250059705056
"1","50","MEMs-Exponential",-0.263026798749989,0.116224743135701,0.692,-0.263026798749989,0.069183096860667,-0.490827295295962,-0.0352263022040155
"1","500","BHM",-0.033681846,0.0750616,0.114,-0.033681846,0.00113446674996772,-0.180802582,0.11343889
"1","500","CPHM",0.000809878697293737,0.0736174085885951,0.054,0.000809878697293737,6.559035043302e-07,-0.143480242136353,0.14509999953094
"1","500","MEMs-Empirical",-0.0984830102722722,0.0522480622295107,0.532,-0.0984830102722722,0.00969890331228847,-0.200889212242113,0.00392319169756875
"1","500","MEMs-Exponential",-0.171013083304702,0.0441655390842968,0.746,-0.171013083304702,0.0292454746613811,-0.257577539909924,-0.0844486266994808
